,u,v,key,osmid,bearing,length,oneway,indexway,from,to,geometry
137,272448133,5804465636,0,153225684,298.6,12.806,FALSE,5265,5804465636,272448133,"LINESTRING (100.5721629 13.7167422, 100.5720588 13.7167973)"
138,5804465643,272555749,0,153225684,289.8,93.66,FALSE,5211,5804465643,272555749,"LINESTRING (100.5711774 13.7171892, 100.5703618 13.717475)"
139,272555749,272555738,0,153225684,296.2,85.338,FALSE,5213,272555749,272555738,"LINESTRING (100.5703618 13.717475, 100.5696532 13.7178143)"
140,272555738,272448134,0,153225684,292.9,23.362,FALSE,5232,272555738,272448134,"LINESTRING (100.5696532 13.7178143, 100.569454 13.7178961)"
141,272448134,5804465574,0,153225684,291.6,14.544,FALSE,5218,272448134,5804465574,"LINESTRING (100.569454 13.7178961, 100.5693288 13.7179442)"
142,5804465574,3048996870,0,153225684,294,153.533,FALSE,5219,5804465574,3048996870,"LINESTRING (100.5693288 13.7179442, 100.5680307 13.7185065)"
143,3048996870,272448135,0,153225684,295.7,13.696,FALSE,5221,3048996870,272448135,"LINESTRING (100.5680307 13.7185065, 100.5679165 13.71856)"
144,272448135,272555800,0,153225684,292.2,84.034,FALSE,5225,272448135,272555800,"LINESTRING (100.5679165 13.71856, 100.5671963 13.7188457)"
145,272555800,6427826768,0,482209833,203.6,105.958,FALSE,5226,272555800,6427826768,"LINESTRING (100.5671963 13.7188457, 100.5668043 13.7179722)"
146,272555800,272448137,0,482209834,293.7,11.985,FALSE,5227,272555800,272448137,"LINESTRING (100.5671963 13.7188457, 100.5670947 13.718889)"
147,6427826768,5804465588,0,482209833,204,56.504,FALSE,5228,6427826768,5804465588,"LINESTRING (100.5668043 13.7179722, 100.5665915 13.717508)"
148,272448137,5678756065,0,482209831,293.9,101.498,FALSE,5230,272448137,5678756065,"LINESTRING (100.5670947 13.718889, 100.5662358 13.7192591)"
149,272448137,5678756069,0,321845933,22.5,83.279,FALSE,40778,5678756069,272448137,"LINESTRING (100.5667991 13.7181973, 100.5670947 13.718889)"
150,5804465588,272555725,0,482209833,205.5,53.13,FALSE,50597,5804465588,272555725,"LINESTRING (100.5665915 13.717508, 100.5663794 13.7170769)"
151,6427826767,5678756069,0,321845933,22.2,23.375,FALSE,32397,6427826767,5678756069,"LINESTRING (100.5667175 13.7180026, 100.5667991 13.7181973)"
152,6427826767,272555724,0,321845933,26.1,108.509,FALSE,32391,272555724,6427826767,"LINESTRING (100.5662751 13.7171265, 100.5667175 13.7180026)"
153,5678756065,4913333824,0,482209831,294,90.427,FALSE,40782,5678756065,4913333824,"LINESTRING (100.5662358 13.7192591, 100.5654708 13.7195893)"
154,272555808,2723606642,0,482209830,114.1,82.829,FALSE,40784,272555808,2723606642,"LINESTRING (100.5672562 13.7189825, 100.5679564 13.7186789)"
155,272555808,272555807,0,482209832,112.8,78.793,FALSE,43301,272555807,272555808,"LINESTRING (100.5665837 13.7192569, 100.5672562 13.7189825)"
156,277360977,4965416694,0,153225684,215.7,8.712,FALSE,5247,277360977,4965416694,"LINESTRING (100.592541 13.7142209, 100.5924939 13.7141573)"
157,277360977,1962192630,0,377691430,307.9,52.454,FALSE,27035,1962192630,277360977,"LINESTRING (100.5929243 13.7139313, 100.592541 13.7142209)"
158,272206256,1686126950,0,185007810,305.9,175.778,FALSE,5250,272206256,1686126950,"LINESTRING (100.5924507 13.7142868, 100.5911319 13.7152128)"
159,272206256,4965416696,0,153225686,37.2,8.432,FALSE,5291,4965416696,272206256,"LINESTRING (100.5924035 13.7142264, 100.5924507 13.7142868)"
160,1686126950,1686126952,0,185007810,305.6,71.394,FALSE,5301,1686126950,1686126952,"LINESTRING (100.5911319 13.7152128, 100.5905947 13.7155868)"
161,272448121,4965267259,0,482404745,130,33.607,FALSE,5303,272448121,4965267259,"LINESTRING (100.5925734 13.7143516, 100.5928117 13.7141573)"
162,272448121,783872068,0,336620983,126.1,33.808,FALSE,41934,783872068,272448121,"LINESTRING (100.5923205 13.7145307, 100.5925734 13.7143516)"
163,4965416716,2189041841,0,208631109,187.6,11.655,FALSE,5262,4965416716,2189041841,"LINESTRING (100.5841057 13.7128481, 100.5840915 13.7127442)"
164,1686126940,1686126934,0,153225686,91.7,180.791,FALSE,5278,1686126940,1686126934,"LINESTRING (100.5878929 13.7128298, 100.5895658 13.7127829)"
165,2189041841,2189041840,0,208631109,189.2,91.6,FALSE,29007,2189041841,2189041840,"LINESTRING (100.5840915 13.7127442, 100.5839554 13.7119311)"
166,3948923066,3948923073,0,208631105,6.7,37.449,FALSE,28959,3948923066,3948923073,"LINESTRING (100.5841824 13.7135883, 100.5842227 13.7139228)"
167,1686126934,85703496,0,153225686,84.8,13.461,FALSE,5292,1686126934,85703496,"LINESTRING (100.5895658 13.7127829, 100.5896899 13.7127938)"
